00:00:00.001504 main     VirtualBox XPCOM Server 7.0.14 r161095 linux.amd64 (Jan 16 2024 21:13:22) release log
00:00:00.001505 main     Log opened 2024-01-22T02:28:39.231431000Z
00:00:00.001505 main     Build Type: release
00:00:00.001506 main     OS Product: Linux
00:00:00.001506 main     OS Release: 6.7.0-arch3-1
00:00:00.001507 main     OS Version: #1 SMP PREEMPT_DYNAMIC Sat, 13 Jan 2024 14:37:14 +0000
00:00:00.001518 main     DMI Product Name: HP ENVY TE01-2xxx
00:00:00.001521 main     DMI Product Version: 
00:00:00.001523 main     Firmware type: UEFI
00:00:00.001730 main     Secure Boot: Disabled
00:00:00.001744 main     Host RAM: 31866MB (31.1GB) total, 30441MB (29.7GB) available
00:00:00.001745 main     Executable: /usr/lib/virtualbox/VBoxSVC
00:00:00.001746 main     Process ID: 1564
00:00:00.001746 main     Package type: LINUX_64BITS_GENERIC (OSE)
00:00:00.002740 main     IPC socket path: /tmp/.vbox-neutron-ipc/ipcd
00:00:00.107490 nspr-2   VirtualBox: object creation starts
00:00:00.108678 nspr-2   Home directory: '/home/neutron/.config/VirtualBox'
00:00:00.109061 nspr-2   Loading settings file "/home/neutron/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:00.112537 nspr-2   USB: Unknown USB device detected (idVendor: 0x8087, idProduct: 0x0026)
00:00:00.112738 nspr-2   Successfully initialised host USB using sysfs
00:00:00.137841 nspr-2   NetIfAdpCtlOut: VBoxNetAdpCtl: Error while retrieving link speed for wlo1: VBoxNetAdpCtl: ioctl failed: Operation not supported
00:00:00.139992 nspr-2   HostDnsMonitor: initializing
00:00:00.140513 nspr-2   NAT: resolv.conf: nameserver 100.64.0.7
00:00:00.140547 nspr-2   HostDnsMonitor: updating information
00:00:00.140579 nspr-2   HostDnsMonitor: old information
00:00:00.140582 nspr-2     no server entries
00:00:00.140584 nspr-2     no domain set
00:00:00.140586 nspr-2     no search string entries
00:00:00.140589 nspr-2   HostDnsMonitor: new information
